title,genres,actors,director
Touching the Void,Documentary Action Adventure,Brendan Mackey Nicholas Aaron Richard Hawking,Kevin Macdonald
Alexander's Ragtime Band,Drama Music Romance,Tyrone Power Alice Faye Don Ameche,Henry King
Me and You and Everyone We Know,Comedy Drama,Miranda July John Hawkes Brandon Ratcliff,Miranda July
Inside Job,Documentary,Matt Damon William Ackman Barack Obama,Charles Ferguson
We Are Your Friends,Drama Music Romance,Zac Efron Emily Ratajkowski Wes Bentley,Max Joseph
Ghost Dog: The Way of the Samurai,Crime Drama,Forest Whitaker Cliff Gorman Tricia Vessey,Jim Jarmusch
Harsh Times,Crime Drama Thriller Action,Christian Bale Freddy Rodríguez Eva Longoria,David Ayer
Captive,Crime Drama Thriller,Kate Mara David Oyelowo Michael Kenneth Williams,Jerry Jameson
Full Frontal,Comedy Drama Romance,David Duchovny Nicky Katt Catherine Keener,Steven Soderbergh
Witchboard,Horror,Stephen Nichols Tawny Kitaen Todd Allen,Kevin Tenney
Shortbus,Romance Drama Comedy,Sook-Yin Lee Paul Dawson PJ DeBoy,John Cameron Mitchell
Vals Im Bashir,Drama Animation War,Ari Folman Ron Ben-Yishai Dror Harazi,Ari Folman
"The Book of Mormon Movie, Volume 1: The Journey",,Kirby Heyborne Michael Flynn,
No End in Sight,Documentary,Campbell Scott Gerald Burke Ali Fadhil,Charles Ferguson
The Diary of a Teenage Girl,Drama Romance,Bel Powley Kristen Wiig Alexander Skarsgård,Marielle Heller
In the Shadow of the Moon,Documentary,Buzz Aldrin Michael Collins Alan Bean,David Sington
Meek's Cutoff,Drama Western,Michelle Williams Bruce Greenwood Will Patton,Kelly Reichardt
Inside Deep Throat,History Documentary,Dennis Hopper Peter Bart Warren Beatty,Fenton Bailey
Dinner Rush,Drama Action Thriller,Danny Aiello John Rothman Frank Bongiorno,Bob Giraldi
Clockwatchers,Comedy Drama,Toni Collette Parker Posey Lisa Kudrow,Jill Sprecher
The Virginity Hit,Comedy,Matt Bennett Zack Pearlman Jacob Davich,Huck Botko
Subway,Action Thriller,Isabelle Adjani Christopher Lambert Richard Bohringer,Luc Besson
House of D,Comedy Drama,Robin Williams David Duchovny Anton Yelchin,David Duchovny
Teeth,Comedy Horror,Jess Weixler John Hensley Josh Pais,Mitchell Lichtenstein
Six-String Samurai,Action Adventure Science Fiction,Jeffrey Falcon Justin McGuire Kim De Angelo,Lance Mungia
Hum To Mohabbat Karega,,,
It's All Gone Pete Tong,Drama Comedy Music,Paul Kaye Kate Magowan Neil Maskell,Michael Dowse
Saint John of Las Vegas,Comedy,Steve Buscemi Romany Malco Tim Blake Nelson,Hue Rhodes
24 7: Twenty Four Seven,Comedy Drama Romance,Bob Hoskins Danny Nussbaum Bruce Jones,Shane Meadows
Stonewall,Drama,Jeremy Irvine Jonny Beauchamp Jonathan Rhys Meyers,Roland Emmerich
Roadside Romeo,Animation Family Foreign,Saif Ali Khan Kareena Kapoor Javed Jaffrey,
This Thing of Ours,Drama Action Thriller,James Caan James Caan Frank Vincent,Danny Provenzano
The Lost Medallion: The Adventures of Billy Stone,Adventure Family,William Brent Sammi Hanratty James Hong,Bill Muir
The Last Five Years,Comedy Drama Music Romance,Anna Kendrick Jeremy Jordan Natalie Knepp,Richard LaGravenese
The Missing Person,Comedy Drama Mystery Thriller,Michael Shannon Amy Ryan Frank Wood,Noah Buschel
Return of the Living Dead 3,Comedy Science Fiction Romance Horror,Melinda Clarke J. Trevor Edmond Kent McCord,Brian Yuzna
London,Drama Action Romance,Chris Evans Jessica Biel Joy Bryant,Hunter Richards
Sherrybaby,Drama,Maggie Gyllenhaal Michelle Hurst Sandra Rodríguez,Laurie Collyer
Circle,Horror Science Fiction,Julie Benz Carter Jenkins Cesar Garcia,Aaron Hann
Eden Lake,Horror Thriller,Kelly Reilly Michael Fassbender Tara Ellis,James Watkins
Plush,Thriller,Emily Browning Xavier Samuel Cam Gigandet,Catherine Hardwicke
Lesbian Vampire Killers,Horror Comedy,James Corden Mathew Horne Paul McGann,Phil Claydon
Jerusalema,Drama Action Crime Foreign,Daniel Buckland Robert Hobbs Rapulana Seiphemo,Ralph Ziman
Freeze Frame,Thriller Drama Crime,Lee Evans Sean McGinley Ian McNeice,John Simpson
Grave Encounters,Thriller Horror,Sean Rogerson Juan Riedinger Ashleigh Gryzko,Colin Minihan
Stitches,Horror,Ross Noble Tommy Knight Gemma-Leah Devereux,Conor McMahon
Nine Dead,Crime Drama Horror Thriller,Melissa Joan Hart John Terry Chip Bent,Chris Shadley
"To Be Frank, Sinatra at 100",Documentary,Tony Oppedisano,Simon Napier-Bell
Bananas,Comedy,Woody Allen Louise Lasser Carlos Montalbán,Woody Allen
$upercapitalist,Thriller,Linus Roache Derek Ting Richard Ng,Simon Yin
Rockaway,Action Adventure Drama,Nicholas Gonzalez Mario Cimarro Oleg Taktarov,Jeff Crook
The Lady from Shanghai,Crime Drama Mystery,Rita Hayworth Orson Welles Everett Sloane,Orson Welles
No Man's Land: The Rise of Reeker,Horror Thriller,Stephen Martines Valerie Cruz Mircea Monroe,Dave Payne
Highway,Action Adventure Drama,Jake Gyllenhaal Selma Blair Jared Leto,James Cox
Small Apartments,Comedy Crime,Matt Lucas Juno Temple James Caan,Jonas Åkerlund
Coffee Town,Comedy,Glenn Howerton Steve Little Ben Schwartz,Brad Copeland
The Ghastly Love of Johnny X,Comedy Fantasy Music,Will Keenan Creed Bratton De Anna Joy Brooks,Paul Bunnell
All Is Bright,Comedy Drama,Paul Rudd Paul Giamatti Sally Hawkins,Phil Morrison
Die Schlangengrube und das Pendel,Mystery Horror History,Lex Barker Christopher Lee Karin Dor,Harald Reinl
Straight A's,Comedy Drama,Anna Paquin Ryan Phillippe Luke Wilson,James Cox
A Funny Thing Happened on the Way to the Forum,Comedy Music,Zero Mostel Phil Silvers Buster Keaton,Richard Lester
Slacker Uprising,Documentary,Michael Moore Eddie Vedder Robert Ellis Orrall,Michael Moore
The Legend of Hell's Gate: An American Conspiracy,Action Adventure History Western,Eric Balfour Lou Taylor Pucci Henry Thomas,Tanner Beard
Walking with the Dead,Science Fiction Comedy,Tim Ogletree Troy Ogletree Dave Sheridan,Scott Dow
The Curse of Downers Grove,Thriller Mystery Horror Drama,Bella Heathcote Lucas Till Helen Slater,Derick Martini
Shark Lake,Thriller,Dolph Lundgren James Chalke Sara Malakul Lane,Jerry Dugan
River's Edge,Crime Drama,Crispin Glover Keanu Reeves Ione Skye,Tim Hunter
Northfork,Fantasy Drama Science Fiction,James Woods Nick Nolte Claire Forlani,Michael Polish
The Marine 4: Moving Target,Thriller Action,Mike Mizanin Melissa Roxburgh Josh Blacker,William Kaufman
Buried,Drama Thriller Mystery,Ryan Reynolds José Luis García Pérez Robert Paterson,Rodrigo Cortés
Submarine,Drama Comedy Romance,Craig Roberts Sally Hawkins Paddy Considine,Richard Ayoade
The Square,Documentary Drama History,Khalid Abdalla Dina Abdullah Dina Amer,Jehane Noujaim
Chacun sa nuit,Drama,Lizzie Brocheré Arthur Dupont Guillaume Baché,Jean-Marc Barr
एबीसीडी,Drama Music,Prabhu Deva Ganesh Acharya Kay Kay Menon,Remo D'Souza
Man on Wire,Thriller Documentary Crime History,Philippe Petit Jean François Heckel Jean-Louis Blondeau,James Marsh
Abandoned,Drama Thriller,Dominic Purcell Peter Feeney Owen Black,John Laing
Brotherly Love,Drama,Keke Palmer Cory Hardrict Eric D. Hill Jr.,Jamal Hill
The Last Exorcism,Horror Drama Thriller,Ashley Bell Patrick Fabian Iris Bahr,Daniel Stamm
Nowhere Boy,Drama,Aaron Taylor-Johnson Anne-Marie Duff Kristin Scott Thomas,Sam Taylor-Johnson
A Streetcar Named Desire,Drama,Vivien Leigh Marlon Brando Kim Hunter,Elia Kazan
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Drama Comedy War,Peter Sellers George C. Scott Sterling Hayden,Stanley Kubrick
El Crimen del Padre Amaro,Drama Romance,Gael García Bernal Ana Claudia Talancón Sancho Gracia,Carlos Carrera
Beasts of the Southern Wild,Drama Fantasy,Quvenzhané Wallis Dwight Henry Levy Easterly,Benh Zeitlin
Battle for the Planet of the Apes,Action Science Fiction,Roddy McDowall Natalie Trundy Austin Stoker,J. Lee Thompson
Songcatcher,Drama Music,Janet McTeer Michael Davis Michael Goodwin,Maggie Greenwald
Higher Ground,Drama Thriller,Vera Farmiga Donna Murphy Dagmara Domińczyk,Vera Farmiga
வாலு,Comedy Romance,Silambarasan Hansika Motwani Santhanam,Vijay Chandar
The Greatest Movie Ever Sold,Comedy Documentary,Morgan Spurlock Peter Berg Paul Brennan,Morgan Spurlock
Ed and His Dead Mother,Comedy,Eric Christmas Harper Roisman Steve Buscemi,Jonathan Wacks
Travellers and Magicians,Adventure Drama Foreign,Tshewang Dendup Sonam Lhamo Lhakpa Dorji,Khyentse Norbu
Hang 'em High,Western,Clint Eastwood Inger Stevens Ed Begley,Ted Post
Deadline - U.S.A.,Crime Drama,Humphrey Bogart Ethel Barrymore Kim Hunter,Richard Brooks
Sublime,Horror Thriller,Tom Cavanagh Jeffrey Anderson-Gunter Cas Anvar,Tony Krantz
A Beginner's Guide to Snuff,Thriller Comedy Horror,Joey Kern Luke Edwards Bree Williamson,Mitchell Altieri
Independence Daysaster,Action Science Fiction,Casey Dubois Iain Belcher Andrea Brooks,W.D. Hogan
Dysfunctional Friends,Comedy Romance,Stacey Dash Reagan Gomez-Preston Wesley Jonathan,Corey Grant
Lola rennt,Action Drama Thriller,Franka Potente Moritz Bleibtreu Herbert Knaup,Tom Tykwer
May,Drama Horror Thriller Romance,Angela Bettis Jeremy Sisto Anna Faris,Lucky McKee
Against the Wild,Adventure Family,Natasha Henstridge CJ Adams Erin Pitt,Richard Boddington
La misma luna,Drama,Kate del Castillo Adrián Alonso Barona Eugenio Derbez,Patricia Riggen
Conquest of the Planet of the Apes,Action Science Fiction,Roddy McDowall Don Murray Ricardo Montalban,J. Lee Thompson
In the Bedroom,Drama Thriller,Tom Wilkinson Sissy Spacek Nick Stahl,Todd Field
I Spit on Your Grave,Thriller Crime Horror,Sarah Butler Daniel Franzese Chad Lindberg,Steven R. Monroe
"Happy, Texas",Comedy Crime,Steve Zahn William H. Macy Jeremy Northam,Mark Illsley
My Summer of Love,Drama Thriller Romance,Natalie Press Emily Blunt Paddy Considine,Paweł Pawlikowski
Dabba,Drama Romance,Irrfan Khan Nimrat Kaur Nawazuddin Siddiqui,Ritesh Batra
Yes,Drama Romance,Joan Allen Simon Abkarian Sam Neill,Sally Potter
You Can't Take It With You,Comedy Romance,Jean Arthur Lionel Barrymore James Stewart,Frank Capra
From Here to Eternity,War Drama Romance,Burt Lancaster Montgomery Clift Deborah Kerr,Fred Zinnemann
She Wore a Yellow Ribbon,Western,John Wayne Joanne Dru John Agar,John Ford
Grace Unplugged,Drama Music,AJ Michalka James Denton Kevin Pollak,Brad J. Silverman
Foolish,Comedy Drama,Eddie Griffin Master P Amie Petersen,Dave Meyers
N-Secure,Drama Crime Thriller,Cordell Moore Essence Atkins Denise Boutte,David M. Matthews
سكر بنات,Drama Comedy Romance,Nadine Labaki Yasmine Al Massri Joanna Moukarzel,Nadine Labaki
Out of the Dark,Thriller Horror,Julia Stiles Scott Speedman Stephen Rea,Lluís Quílez
Ha-Buah,Drama Romance,Ohad Knoller Yousef Sweid Daniella Wircer,Eytan Fox
The Conversation,Crime Drama Mystery,Gene Hackman John Cazale Frederic Forrest,Francis Ford Coppola
दिल जो भी कहे,Romance,Amitabh Bachchan Revathi Karan Sharma,Romesh Sharma
La sirène du Mississipi,Crime Drama Romance,Jean-Paul Belmondo Catherine Deneuve Michel Bouquet,François Truffaut
I Love Your Work,Drama Mystery,Marisa Coughlan Judy Greer Shalom Harlow,Adam Goldberg
Cabin Fever,Horror,Matthew Daddario Samuel Davis Dustin Ingram,Travis Zariwny
Waitress,Comedy,Keri Russell Nathan Fillion Andy Griffith,Adrienne Shelly
Bloodsport,Action,Jean-Claude Van Damme Bolo Yeung Roy Chiao,Newt Arnold
Mr. Smith Goes to Washington,Comedy Drama,James Stewart Jean Arthur Claude Rains,Frank Capra
Kids,Drama Crime,Leo Fitzpatrick Rosario Dawson Chloë Sevigny,Larry Clark
The Squid and the Whale,Comedy Drama,Jeff Daniels Laura Linney Jesse Eisenberg,Noah Baumbach
Kissing Jessica Stein,Comedy,Jennifer Westfeldt Tovah Feldshuh Esther Wurmfeld,Charles Herman-Wurmfeld
Kickboxer: Vengeance,Action Drama,Alain Moussi Dave Bautista Sara Malakul Lane,John Stockwell
Spellbound,Drama Mystery Thriller,Ingrid Bergman Gregory Peck Michael Chekhov,Alfred Hitchcock
Exotica,Drama Mystery,Bruce Greenwood Mia Kirshner Elias Koteas,Atom Egoyan
Buffalo '66,Romance Comedy Crime Drama,Vincent Gallo Christina Ricci Ben Gazzara,Vincent Gallo
Insidious,Horror Thriller,Patrick Wilson Rose Byrne Ty Simpkins,James Wan
Repo Man,Comedy Crime Science Fiction Thriller,Harry Dean Stanton Emilio Estevez Tracey Walter,Alex Cox
Nueve Reinas,Crime Drama Thriller,Ricardo Darín Gastón Pauls Leticia Brédice,Fabián Bielinsky
The Gatekeepers,Documentary,Ami Ayalon Avraham Shalom Yaakov Peri,Dror Moreh
The Ballad of Jack and Rose,Drama,Daniel Day-Lewis Camilla Belle Catherine Keener,Rebecca Miller
The To Do List,Comedy Romance,Aubrey Plaza Johnny Simmons Bill Hader,Maggie Carey
Killing Zoe,Action Crime Drama Thriller,Eric Stoltz Julie Delpy Jean-Hugues Anglade,Roger Avary
The Believer,Drama,Ryan Gosling Summer Phoenix Theresa Russell,Henry Bean
Snow Angels,Drama Romance,Kate Beckinsale Sam Rockwell Michael Angarano,David Gordon Green
Unsullied,Thriller Action Horror,Rusty Joiner Murray Gray James Gaudioso,Simeon Rice
Session 9,Horror Mystery,Peter Mullan David Caruso Stephen Gevedon,Brad Anderson
I Want Someone to Eat Cheese With,Comedy Romance,Jeff Garlin Sarah Silverman Bonnie Hunt,Jeff Garlin
Mooz-lum,Drama,Nia Long Danny Glover Evan Ross,Qasim Basir
Hatchet,Comedy Horror,Joel David Moore Tamara Feldman Deon Richmond,Adam Green
Modern Times,Drama Comedy,Charlie Chaplin Paulette Goddard Henry Bergman,Charlie Chaplin
Stolen Summer,Drama Family Comedy,Aidan Quinn Bonnie Hunt Kevin Pollak,Pete Jones
My Name Is Bruce,Comedy Horror,Bruce Campbell Grace Thorsen Ted Raimi,Bruce Campbell
The Salon,Comedy,Dondre Whitfield Kym Whitley Monica Calhoun,Mark Brown
Road Hard,Comedy,Adam Carolla Diane Farr Larry Miller,Adam Carolla
Forty Shades of Blue,Drama Romance,Dina Korzun Rip Torn Darren E. Burrows,Ira Sachs
Amigo,Drama History War,Chris Cooper DJ Qualls Garret Dillahunt,John Sayles
Pontypool,Horror Mystery Science Fiction,Stephen McHattie Lisa Houle Georgina Reilly,Bruce McDonald
Trucker,Drama,Michelle Monaghan Nathan Fillion Joey Lauren Adams,James Mottern
Me You and Five Bucks,Romance Comedy Drama,,
The Lords of Salem,Horror Thriller,Sheri Moon Zombie Bruce Davison Jeff Daniel Phillips,Rob Zombie
Housebound,Horror Comedy Thriller,Morgana O'Reilly Rima Te Wiata Glen-Paul Waru,Gerard Johnstone
Wal-Mart: The High Cost of Low Price,Documentary,Lee Scott Don Hunter Jon Hunter,Robert Greenwald
Fetching Cody,Comedy Drama Fantasy Romance Science Fiction,Jay Baruchel Sarah Lind Jim Byrnes,David Ray
Last I Heard,Drama Comedy,Paul Sorvino Chazz Palminteri Michael Rapaport,David Rodriguez
Closer to the Moon,Comedy Drama,Vera Farmiga Mark Strong Harry Lloyd,Nae Caranfil
Mutant World,Science Fiction,Kim Coates Holly Deveaux Ashanti,David Winning
Growing Up Smith,Comedy Family Drama,Roni Akurati Brighton Sharbino Jason Lee,Frank Lotito
Checkmate,Thriller Action Crime,Danny Glover Sean Astin Vinnie Jones,Timothy Woodward Jr.
#Horror,Drama Mystery Horror Thriller,Taryn Manning Natasha Lyonne Chloë Sevigny,Tara Subkoff
Wind Walkers,Action Horror Thriller,Zane Holtz Glen Powell Kiowa Gordon,Russell Friedenberg
Snow White and the Seven Dwarfs,Fantasy Animation Family,Adriana Caselotti Lucille La Verne Harry Stockwell,David Hand
La niña santa,Drama Foreign,María Alché Mercedes Morán Carlos Belloso,Lucrecia Martel
Shalako,Western,Sean Connery Brigitte Bardot Jack Hawkins,Edward Dmytryk
Incident at Loch Ness,Adventure Comedy Horror,Werner Herzog Kitana Baker Gabriel Beistain,Zak Penn
The Dog Lover,Drama,Allison Paige James Remar Lea Thompson,Alex Ranarivelo
GirlHouse,Horror Thriller,Ali Cobrin Erin Agostino James Thomas,Jon Knautz
La chambre bleue,Drama Crime Thriller,Mathieu Amalric Léa Drucker Stéphanie Cléau,Mathieu Amalric
House at the End of the Drive,Thriller Horror,James Oliver Jonathan Mangum Alison Raimondi,David Worth
Batman,Family Adventure Comedy Science Fiction Crime,Adam West Burt Ward Lee Meriwether,Leslie H. Martinson
"Lock, Stock and Two Smoking Barrels",Comedy Crime,Jason Flemyng Dexter Fletcher Nick Moran,Guy Ritchie
The Ballad of Gregorio Cortez,Western,Edward James Olmos James Gammon Tom Bower,Robert M. Young
Festen,Drama,Ulrich Thomsen Henning Moritzen Thomas Bo Larsen,Thomas Vinterberg
Trees Lounge,Comedy Drama,Steve Buscemi Chloë Sevigny Carol Kane,Steve Buscemi
Vượt Sóng,Drama,Kiều Chinh Long Nguyen Diem Lien,Ham Tran
The Basket,Drama,Peter Coyote Karen Allen Robert Burke,Rich Cowan
Eddie: The Sleepwalking Cannibal,Horror Comedy,Thure Lindhardt Dylan Smith Georgina Reilly,Boris Rodriguez
Kurmanjan Datka. Queen of the Mountains,Drama Action,Elina Abai Kyzy Aziz Muradillayev Nasira Mambetov,Sadyk Sher-Niyaz
Def-Con 4,Science Fiction,Lenore Zann Maury Chaykin Kate Lynch,Paul Donovan
The Hebrew Hammer,Action Comedy,Adam Goldberg Judy Greer Andy Dick,Jonathan Kesselman
Neal 'n' Nikki,Comedy Romance,Uday Chopra Tanisha Mukherjee Abhishek Bachchan,Arjun Sablok
The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,Comedy,Bryan Callen Noureen DeWulf Mircea Monroe,Craig Moss
Forget Me Not,Drama Horror Romance,Carly Schroeder Cody Linley Brie Gabrielle,Tyler Oliver
Rebecca,Drama Mystery,Laurence Olivier Joan Fontaine George Sanders,Alfred Hitchcock
Friday the 13th Part 2,Horror Thriller,Amy Steel John Furey Adrienne King,Steve Miner
The Lost Weekend,Drama,Ray Milland Jane Wyman Phillip Terry,Billy Wilder
C.H.U.D.,Horror Science Fiction,John Heard Daniel Stern Christopher Curry,Douglas Cheek
Filly Brown,Drama,Resmine Atis Baby Bash David Bianchi,Michael D. Olmos
The Lion of Judah,Adventure Animation Comedy Family,Georgina Cordova Ernest Borgnine Michael Madsen,Deryck Broom
Niagara,Crime Drama Thriller,Marilyn Monroe Joseph Cotten Jean Peters,Henry Hathaway
How Green Was My Valley,Drama,Walter Pidgeon Maureen O'Hara Roddy McDowall,John Ford
Da Sweet Blood of Jesus,Thriller Comedy Romance,Felicia Pearson Zaraah Abrahams Elvis Nolasco,Spike Lee
"Sex, Lies, and Videotape",Drama,Andie MacDowell Peter Gallagher James Spader,Steven Soderbergh
Saw,Horror Mystery Crime,Cary Elwes Danny Glover Monica Potter,James Wan
Super Troopers,Comedy Crime Mystery,Jay Chandrasekhar Steve Lemme Kevin Heffernan,Jay Chandrasekhar
The Algerian,,Ben Youcef Candice Coke Harry Lennix,Giovanni Zelko
Los insólitos peces gato,Comedy Drama,Lisa Owen Ximena Ayala Sonia Franco,Claudia Sainte-Luce
Monsoon Wedding,Comedy Drama Romance,Naseeruddin Shah Lillete Dubey Vijay Raaz,Mira Nair
You Can Count on Me,Drama Romance,Laura Linney Mark Ruffalo Matthew Broderick,Kenneth Lonergan
The Trouble with Harry,Comedy Mystery Thriller,Edmund Gwenn John Forsythe Shirley MacLaine,Alfred Hitchcock
But I'm a Cheerleader,Comedy,Natasha Lyonne Brandt Wille Bud Cort,Jamie Babbit
Home Run,Drama,Scott Elrod Dorian Brown Charles Henry Wyson,David Boyd
Reservoir Dogs,Crime Thriller,Harvey Keitel Tim Roth Michael Madsen,Quentin Tarantino
The Blue Bird,Drama Family Fantasy,Shirley Temple Spring Byington Nigel Bruce,Walter Lang
"Il buono, il brutto, il cattivo",Western,Eli Wallach Clint Eastwood Lee Van Cleef,Sergio Leone
Que Horas Ela Volta?,Drama,Regina Casé Michel Joelsas Camila Márdila,Anna Muylaert
Blue Like Jazz,Drama Comedy,Marshall Allman Claire Holt Tania Raymonde,Steve Taylor
Down & Out With The Dolls,Comedy Music,,
"Pink Ribbons, Inc.",Documentary,Samantha King Barbara Brenner Barbara Ehrenreich,Léa Pool
Certifiably Jonathan,Comedy,Jonathan Winters Robin Williams Sarah Silverman,James David Pasternak
Q,Drama Romance,Déborah Révy Hélène Zimmer Gowan Didi,Laurent Bouhnik
La Navaja De Don Juan,Drama Comedy,Juan Carlos Montoya Rodrigo Viaggio Irma Maury,Tom Sanchez
Grand Theft Parsons,Crime Comedy Drama Adventure,Johnny Knoxville Christina Applegate Gabriel Macht,David Caffrey
Extreme Movie,Comedy,Patrick J. Adams Ryan Pinkston Denise Boutte,Adam Jay Epstein
The Charge of the Light Brigade,Action Adventure Drama War,Errol Flynn Olivia de Havilland Patric Knowles,Michael Curtiz
Below Zero,Thriller Horror,Edward Furlong Michael Berryman Kristin Booth,Justin Thomas Ostensen
Crowsnest,,,
Airborne,Action Adventure Comedy,Shane McDermott Seth Green Brittney Powell,Rob Bowman
Cotton Comes to Harlem,Action Adventure,Godfrey Cambridge Raymond St. Jacques Calvin Lockhart,Ossie Davis
The Wicked Within,Horror,Sienna Guillory Gianni Capaldi Enzo Cilenti,Jay Alaimo
Bleeding Hearts,Horror,Robert Loggia Charles Durning Tony Todd,Dylan Bank
Waiting...,Comedy,Ryan Reynolds Anna Faris Justin Long,Rob McKittrick
Dead Man's Shoes,Drama Thriller Crime,Paddy Considine Gary Stretch Toby Kebbell,Shane Meadows
From a Whisper to a Scream,Comedy Horror,Vincent Price Clu Gulager Terry Kiser,Jeff Burr
Sex With Strangers,Documentary,,
Dracula: Pages from a Virgin's Diary,Horror,Wei-Qiang Zhang Tara Birtwhistle David Moroni,Guy Maddin
Faith Like Potatoes,Drama,Frank Rautenbach Jeanne Neilson Hamilton Dlamini,Regardt van den Bergh
Beyond the Black Rainbow,Fantasy Science Fiction Horror,Michael Rogers Scott Hylands Marilyn Norry,Panos Cosmatos
Serbuan maut,Action Thriller Crime,Iko Uwais Joe Taslim Donny Alamsyah,Gareth Evans
The Dead Undead,Horror Science Fiction Action,Luke Goss Joshua Alba Matthew R. Anderson,Matthew R. Anderson
The Vatican Exorcisms,Horror Documentary Mystery,Joe Marino,Joe Marino
Casablanca,Drama Romance,Humphrey Bogart Ingrid Bergman Paul Henreid,Michael Curtiz
Lake Mungo,Horror Thriller,Talia Zucker Rosie Traynor David Pledger,Joel Anderson
Rocket Singh: Salesman of the Year,Drama Comedy Romance,Ranbir Kapoor Sumeet Darshan Dobhal Gauhar Khan,Shimit Amin
Silent Running,Adventure Drama Science Fiction,Bruce Dern Cliff Potts Ron Rifkin,Douglas Trumbull
Rocky,Drama,Sylvester Stallone Talia Shire Burt Young,John G. Avildsen
The Sleepwalker,Drama,Christopher Abbott Brady Corbet Stephanie Ellis,Mona Lerche
Tom Jones,Adventure Comedy History Romance,Albert Finney Susannah York Hugh Griffith,Tony Richardson
Unfriended,Horror Thriller,Shelley Hennig Moses Jacob Storm Renee Olstead,Levan Gabriadze
Taxi Driver,Crime Drama,Robert De Niro Cybill Shepherd Harvey Keitel,Martin Scorsese
The Howling,Drama Horror,Patrick Macnee Dennis Dugan Christopher Stone,Joe Dante
Dr. No,Adventure Action Thriller,Sean Connery Ursula Andress Joseph Wiseman,Terence Young
Chernobyl Diaries,Horror Thriller,Jesse McCartney Jonathan Sadowski Olivia Taylor Dudley,Bradley Parker
Hellraiser,Horror,Andrew Robinson Clare Higgins Ashley Laurence,Clive Barker
God's Not Dead 2,Drama,Hayley Orrantia Melissa Joan Hart Jesse Metcalfe,Harold Cronk
Cry_Wolf,Horror Thriller,Julian Morris Lindy Booth Jared Padalecki,Jeff Wadlow
Gojira ni-sen mireniamu,Adventure Horror Action Science Fiction,Takehiro Murata Naomi Nishida Mayu Suzuki,Takao Okawara
Blue Valentine,Drama Romance,Ryan Gosling Michelle Williams Mike Vogel,Derek Cianfrance
Transamerica,Drama,Felicity Huffman Kevin Zegers Elizabeth Peña,Duncan Tucker
The Devil Inside,Thriller Horror,Fernanda Andrade Simon Quarterman Evan Helmuth,William Brent Bell
Beyond the Valley of the Dolls,Comedy Drama Thriller,Dolly Read Cynthia Myers Marcia McBroom,Russ Meyer
Love Me Tender,Drama Action Western Music Romance,Richard Egan Debra Paget Elvis Presley,Robert D. Webb
An Inconvenient Truth,Documentary,Al Gore Billy West Ronald Reagan,Davis Guggenheim
Sands of Iwo Jima,Action Drama History War,John Wayne John Agar Adele Mara,Allan Dwan
Shine a Light,Documentary Music,Mick Jagger Keith Richards Charlie Watts,Martin Scorsese
The Green Inferno,Action Adventure Horror Thriller,Lorenza Izzo Ariel Levy Sky Ferreira,Eli Roth
Departure,Drama Romance Family,Juliet Stevenson Alex Lawther Phénix Brossard,Andrew Steggall
The Sessions,Drama Romance Comedy,John Hawkes Helen Hunt William H. Macy,Ben Lewin
"Food, Inc.",Documentary,Michael Pollan Eric Schlosser Richard Lobb,Robert Kenner
October Baby,Drama,Rachel Hendrix  Jason Burkey Robert Amaya ,Andrew Erwin
Next Stop Wonderland,Comedy Drama Romance,Hope Davis Philip Seymour Hoffman Holland Taylor,Brad Anderson
The Skeleton Twins,Drama,Kristen Wiig Bill Hader Luke Wilson,Craig Johnson
Martha Marcy May Marlene,Drama Thriller,Elizabeth Olsen Hugh Dancy John Hawkes,Sean Durkin
Obvious Child,Comedy Romance,Jenny Slate Jake Lacy Gaby Hoffmann,Gillian Robespierre
Frozen River,Drama,Melissa Leo Misty Upham Charlie McDermott,Courtney Hunt
20 Feet from Stardom,Documentary Music,Bette Midler Mick Jagger Sting,Morgan Neville
Two Girls and a Guy,Drama Romance,Robert Downey Jr. Natasha Gregson Wagner Heather Graham,James Toback
Walking and Talking,Comedy Drama Romance,Catherine Keener Anne Heche Liev Schreiber,Nicole Holofcener
Who Killed the Electric Car?,Documentary,Martin Sheen Mel Gibson Tom Hanks,Chris Paine
The Broken Hearts Club: A Romantic Comedy,Comedy Drama Romance,Ben Weber Timothy Olyphant Matt McGrath,Greg Berlanti
Bubba Ho-tep,Comedy Horror Thriller Mystery Fantasy,Bruce Campbell Ossie Davis Ella Joyce,Don Coscarelli
Slam,Drama,Saul Williams Sonja Sohn Bonz Malone,Marc Levin
Brigham City,Crime Drama Mystery Thriller,Richard Dutcher Matthew A. Brown Wilford Brimley,Richard Dutcher
Fiza,Drama Foreign Romance,Hrithik Roshan Karisma Kapoor Jaya Bachchan,Khalid Mohammed
Orgazmo,Comedy,Trey Parker Dian Bachar Matt Stone,Trey Parker
All the Real Girls,Drama Romance,Paul Schneider Zooey Deschanel Danny McBride,David Gordon Green
Dream with the Fishes,Comedy,David Arquette Brad Hunt Kathryn Erbe,
Blue Car,Drama,Margaret Colin Agnes Bruckner David Strathairn,Karen Moncrieff
Palo Alto,Drama,Emma Roberts Jack Kilmer Nat Wolff,Gia Coppola
Ajami,Crime Drama,Fouad Habash Nisrine Rihan Elias Saba,Scandar Copti
